postcode,no of collectors,avg streets,new coll ratio,total collected,total donated,total received,avg collected,avg donated,avg received,avg coll age,no weekends,prof ratio,no prof coll
4625,11,3.36,0.45,499.60,118.00,617.60,45.42,10.73,56.15,59.00,2,0.36,11
4626,5,3.60,0.80,500.30,0.00,500.30,100.06,0.00,100.06,64.50,2,0.60,5
4627,2,3.00,1.00,114.60,0.00,114.60,57.30,0.00,57.30,64.00,2,0.50,2
4630,5,3.00,0.80,263.00,20.00,283.00,52.60,4.00,56.60,63.60,2,0.20,5
4650,127,3.17,0.62,8357.55,119.00,8476.55,65.81,0.94,66.74,61.35,2,0.34,127
4655,180,3.07,0.67,11481.40,338.00,11819.40,63.79,1.88,65.66,64.04,2,0.32,180
4659,16,3.00,0.69,1534.80,0.00,1534.80,95.93,0.00,95.93,68.13,2,0.44,16
4660,30,2.83,0.83,1732.95,30.00,1762.95,57.77,1.00,58.77,60.61,2,0.20,30
4662,1,3.00,1.00,10.00,0.00,10.00,10.00,0.00,10.00,43.00,2,0.00,1
4670,283,3.10,0.69,17256.95,238.95,17495.90,60.98,0.84,61.82,61.86,2,0.24,283
4671,4,3.75,0.50,317.50,0.00,317.50,79.38,0.00,79.38,57.25,2,0.50,4
4677,4,3.25,0.75,187.00,50.00,237.00,46.75,12.50,59.25,73.25,2,0.25,4
4680,152,3.09,0.63,11195.00,167.65,11362.65,73.65,1.10,74.75,57.03,2,0.41,152
4695,3,3.67,1.00,289.30,0.00,289.30,96.43,0.00,96.43,67.00,2,0.33,3
