,postcode,num_streets,age,Acq,weekends,profitable,cluster,avg income
300,2042,1,48.0,0.0,4,1,3,81014.12318
301,2042,1,49.0,0.0,4,1,3,81014.12318
302,2042,9,52.0,1.0,4,1,3,81014.12318
303,2042,1,67.0,1.0,4,1,3,81014.12318
304,2042,9,60.0,1.0,4,0,3,81014.12318
305,2042,1,73.0,0.0,4,0,3,81014.12318
306,2042,1,54.0,0.0,4,0,3,81014.12318
307,2042,1,71.0,1.0,4,0,3,81014.12318
308,2043,3,58.0,1.0,4,0,2,90247.01881
309,2043,1,79.0,0.0,4,0,2,90247.01881
310,2044,1,66.0,1.0,4,1,2,71700.97839
311,2044,1,53.0,0.0,4,1,2,71700.97839
312,2044,1,51.0,0.0,4,1,2,71700.97839
313,2044,1,55.0,0.0,4,0,2,71700.97839
314,2044,1,63.0,0.0,4,0,2,71700.97839
315,2044,1,63.0,1.0,4,0,2,71700.97839
316,2044,1,57.0,1.0,4,0,2,71700.97839
317,2045,1,69.0,0.0,4,1,2,116014.9711
318,2045,1,77.0,0.0,4,1,2,116014.9711
319,2045,1,49.0,1.0,4,1,2,116014.9711
320,2045,1,52.0,1.0,4,1,2,116014.9711
321,2045,1,67.0,0.0,4,1,2,116014.9711
322,2045,1,77.0,0.0,4,0,2,116014.9711
323,2045,9,18.0,1.0,4,0,2,116014.9711
324,2045,1,26.0,0.0,4,0,2,116014.9711
325,2045,1,82.0,1.0,4,0,2,116014.9711
326,2045,1,26.0,1.0,4,0,2,116014.9711
327,2046,1,60.0,1.0,4,1,0,95177.90134
328,2046,1,69.0,0.0,4,1,0,95177.90134
329,2046,1,75.0,0.0,4,1,0,95177.90134
330,2046,9,67.0,1.0,4,1,0,95177.90134
331,2046,1,81.0,0.0,4,1,0,95177.90134
332,2046,1,80.0,0.0,4,1,0,95177.90134
333,2046,1,65.0,1.0,4,1,0,95177.90134
334,2046,1,75.0,0.0,4,1,0,95177.90134
335,2046,1,71.0,0.0,4,1,0,95177.90134
336,2046,2,66.0,1.0,4,1,0,95177.90134
337,2046,1,74.0,1.0,4,1,0,95177.90134
338,2046,2,51.0,0.0,4,1,0,95177.90134
339,2046,1,56.0,1.0,4,1,0,95177.90134
340,2046,1,61.0,1.0,4,1,0,95177.90134
341,2046,1,69.0,0.0,4,1,0,95177.90134
342,2046,1,76.0,0.0,4,1,0,95177.90134
343,2046,1,56.0,0.0,4,0,0,95177.90134
344,2046,1,74.0,1.0,4,0,0,95177.90134
345,2046,1,74.0,0.0,4,0,0,95177.90134
346,2046,3,62.0,0.0,4,0,0,95177.90134
347,2046,1,70.0,1.0,4,0,0,95177.90134
348,2046,1,53.0,0.0,4,0,0,95177.90134
349,2046,1,76.0,1.0,4,0,0,95177.90134
350,2046,9,40.0,1.0,4,0,0,95177.90134
351,2046,9,17.0,1.0,4,0,0,95177.90134
352,2046,10,40.0,1.0,4,0,0,95177.90134
353,2046,1,18.0,1.0,4,0,0,95177.90134
354,2047,9,20.0,1.0,4,1,0,114190.0952
355,2047,1,54.0,0.0,4,0,0,114190.0952
356,2047,1,27.0,0.0,4,0,0,114190.0952
357,2047,1,70.0,1.0,4,0,0,114190.0952
358,2047,9,36.0,1.0,4,0,0,114190.0952
359,2047,1,45.0,1.0,4,0,0,114190.0952
360,2048,1,61.0,1.0,4,1,2,87112.8953
361,2048,1,70.0,1.0,4,1,2,87112.8953
362,2049,1,71.0,1.0,4,1,0,84056.81479
363,2049,1,67.0,0.0,4,1,0,84056.81479
364,2049,1,50.0,0.0,4,1,0,84056.81479
365,2049,1,64.0,1.0,4,1,0,84056.81479
366,2049,1,83.0,0.0,4,1,0,84056.81479
367,2049,1,62.0,1.0,4,1,0,84056.81479
368,2050,9,45.0,1.0,4,1,2,91235.77358
369,2050,1,76.0,0.0,4,0,2,91235.77358
370,2060,1,71.0,0.0,4,1,1,122098.6075
371,2060,1,58.0,1.0,4,1,1,122098.6075
372,2060,1,66.0,1.0,4,1,1,122098.6075
373,2060,1,58.0,1.0,4,1,1,122098.6075
374,2062,9,65.0,1.0,4,1,3,119401.7336
375,2062,1,56.0,1.0,4,1,3,119401.7336
376,2062,9,55.0,1.0,4,0,3,119401.7336
377,2063,2,72.0,0.0,4,1,3,201243.3075
378,2063,2,64.0,0.0,4,1,3,201243.3075
379,2063,1,77.0,1.0,4,1,3,201243.3075
380,2063,1,74.0,0.0,4,1,3,201243.3075
381,2063,1,69.0,0.0,4,1,3,201243.3075
382,2063,1,62.0,1.0,4,1,3,201243.3075
383,2063,1,62.0,1.0,4,1,3,201243.3075
384,2063,1,62.0,1.0,4,1,3,201243.3075
385,2063,1,79.0,1.0,4,1,3,201243.3075
386,2063,9,71.0,1.0,4,1,3,201243.3075
387,2063,1,68.0,1.0,4,0,3,201243.3075
388,2063,1,62.0,1.0,4,0,3,201243.3075
389,2064,1,83.0,1.0,4,1,3,100759.7045
390,2064,1,53.0,1.0,4,1,3,100759.7045
391,2064,1,72.0,1.0,4,1,3,100759.7045
392,2064,1,72.0,1.0,4,1,3,100759.7045
393,2064,1,50.0,1.0,4,1,3,100759.7045
394,2064,1,18.0,1.0,4,0,3,100759.7045
395,2064,1,72.0,1.0,4,0,3,100759.7045
396,2065,1,74.0,0.0,4,1,4,113120.3331
397,2065,1,92.0,1.0,4,1,4,113120.3331
398,2065,1,71.0,0.0,4,1,4,113120.3331
399,2065,1,50.0,0.0,4,1,4,113120.3331
400,2065,1,64.0,1.0,4,1,4,113120.3331
401,2065,9,47.0,1.0,4,1,4,113120.3331
402,2065,1,62.0,0.0,4,1,4,113120.3331
403,2065,1,46.0,1.0,4,1,4,113120.3331
404,2065,1,70.0,0.0,4,0,4,113120.3331
405,2065,1,64.0,1.0,4,0,4,113120.3331
406,2065,9,57.0,1.0,4,0,4,113120.3331
407,2065,9,60.0,1.0,4,0,4,113120.3331
408,2065,1,39.0,1.0,4,0,4,113120.3331
409,2065,1,72.0,0.0,4,0,4,113120.3331
410,2065,1,72.0,1.0,4,0,4,113120.3331
411,2066,1,78.0,1.0,4,1,4,122171.5258
412,2066,1,73.0,1.0,4,1,4,122171.5258
413,2066,1,73.0,0.0,4,1,4,122171.5258
414,2066,9,75.0,1.0,4,1,4,122171.5258
415,2066,1,68.0,0.0,4,1,4,122171.5258
416,2066,1,68.0,0.0,4,1,4,122171.5258
417,2066,10,59.0,1.0,4,1,4,122171.5258
418,2066,1,78.0,1.0,4,1,4,122171.5258
419,2066,1,70.0,0.0,4,1,4,122171.5258
420,2066,9,52.0,1.0,4,1,4,122171.5258
421,2066,1,47.0,0.0,4,1,4,122171.5258
422,2066,1,88.0,0.0,4,1,4,122171.5258
423,2066,10,75.0,1.0,4,1,4,122171.5258
424,2066,1,66.0,0.0,4,1,4,122171.5258
425,2066,1,74.0,1.0,4,1,4,122171.5258
426,2066,1,35.0,1.0,4,1,4,122171.5258
427,2066,1,61.0,0.0,4,1,4,122171.5258
428,2066,1,68.0,1.0,4,0,4,122171.5258
429,2066,1,87.0,0.0,4,0,4,122171.5258
430,2066,1,43.0,1.0,4,0,4,122171.5258
431,2066,9,49.0,1.0,4,0,4,122171.5258
432,2066,1,20.0,0.0,4,0,4,122171.5258
433,2066,1,57.0,1.0,4,0,4,122171.5258
434,2066,1,34.0,0.0,4,0,4,122171.5258
435,2067,1,79.0,0.0,4,1,0,91067.54993
436,2067,1,77.0,0.0,4,1,0,91067.54993
437,2067,9,69.0,1.0,4,1,0,91067.54993
438,2067,9,63.0,1.0,4,1,0,91067.54993
439,2067,9,52.0,1.0,4,1,0,91067.54993
440,2067,9,55.0,1.0,4,0,0,91067.54993
441,2068,1,80.0,0.0,4,1,0,144890.8878
442,2068,2,73.0,0.0,4,1,0,144890.8878
443,2068,1,47.0,0.0,4,1,0,144890.8878
444,2068,1,74.0,1.0,4,1,0,144890.8878
445,2068,1,82.0,0.0,4,1,0,144890.8878
446,2068,9,62.0,1.0,4,1,0,144890.8878
447,2068,1,75.0,0.0,4,1,0,144890.8878
448,2068,1,74.0,0.0,4,1,0,144890.8878
449,2068,1,58.0,0.0,4,1,0,144890.8878
450,2068,1,68.0,0.0,4,1,0,144890.8878
451,2068,1,57.0,0.0,4,1,0,144890.8878
452,2068,1,69.0,1.0,4,1,0,144890.8878
453,2068,1,48.0,1.0,4,0,0,144890.8878
454,2068,1,17.0,1.0,4,0,0,144890.8878
455,2068,9,69.0,1.0,4,0,0,144890.8878
456,2068,1,73.0,1.0,4,0,0,144890.8878
457,2068,1,45.0,1.0,4,0,0,144890.8878
458,2068,9,61.0,1.0,4,0,0,144890.8878
459,2068,1,54.0,0.0,4,0,0,144890.8878
460,2068,9,46.0,1.0,4,0,0,144890.8878
461,2069,1,61.0,1.0,4,1,4,158819.9855
462,2069,1,51.0,0.0,4,1,4,158819.9855
463,2069,1,67.0,0.0,4,1,4,158819.9855
464,2069,1,70.0,1.0,4,1,4,158819.9855
465,2069,1,79.0,0.0,4,1,4,158819.9855
466,2069,1,66.0,0.0,4,1,4,158819.9855
467,2069,2,70.0,0.0,4,1,4,158819.9855
468,2069,3,57.0,1.0,4,1,4,158819.9855
