,avg tax income,avg income,avg gross tax paid,avg salary,Median_Tot_hhd_inc_weekly,postcode,Median_Tot_fam_inc_weekly,avg net tax paid,High_yr_schl_comp_Yr_11_eq_F,prediction,profitable
316,61708.85206,65180.27217,12595.04659,60048.63226,950,2489,1144,12827.64528,183,1,1
317,64413.44487,68070.02281,13562.22053,58706.24561,1107,2490,1238,13912.67681,30,0,0
318,69372.36931,72897.77609,15329.46658,65446.64012,1006,2500,1411,15822.82395,745,1,1
319,55956.863,59319.75007,10360.12333,56020.33248,766,2502,921,10688.06033,245,1,1
320,61651.41994,65123.75601,12364.81408,60828.1462,809,2505,994,12696.75601,116,0,0
321,58577.38851,61894.39168,11326.11129,58276.43883,884,2506,1113,11652.79683,196,1,1
322,73080.83915,76580.32361,16551.21898,69910.86518,1837,2508,2039,17110.19861,185,0,0
323,90100.83207,94496.54281,23617.2812,76323.63851,1702,2515,2029,24245.62444,242,1,1
324,78888.54349,82760.28064,18767.71829,72938.44293,1463,2516,1809,19375.36687,142,1,1
325,71951.12993,75532.61537,16029.55152,70037.34474,1225,2517,1588,16559.9742,288,1,1
326,65313.16298,68694.92036,13621.17289,63905.48939,939,2518,1319,14074.83619,446,1,1
327,71047.63586,74577.08282,15875.66351,66402.3525,1066,2519,1437,16341.95549,366,1,1
328,71203.87895,74865.50251,15767.46827,68486.85749,1395,2525,1726,16290.27503,234,1,1
329,69512.09816,73090.23492,15265.1597,66624.97843,1342,2526,1609,15795.11898,404,1,1
330,62377.41507,65883.60812,12559.6267,62299.62817,1318,2527,1466,12930.39638,609,0,0
331,59435.88334,62865.2893,11629.30856,58542.5321,819,2528,1022,11974.21471,638,1,1
332,66573.51974,70235.32698,14076.48904,65659.21962,1343,2529,1554,14552.50039,630,1,1
333,62103.14859,65598.41022,12435.86451,62229.95811,1137,2530,1343,12881.05526,866,1,1
334,74648.92369,78589.79284,17498.88237,66535.03263,1246,2533,1540,17787.35217,394,1,1
335,70317.15093,74131.56857,15752.17068,64157.02967,1197,2534,1483,15896.22128,123,1,1
336,66157.64288,69801.70573,14283.49168,59728.22982,883,2535,1168,14543.76784,182,1,1
337,56144.36953,58825.50636,10731.50549,49051.67402,792,2536,935,10477.92418,546,1,1
338,56737.33967,59437.01146,10839.59108,51250.30844,806,2537,975,10525.96342,365,1,1
339,65296.96847,68588.77301,14432.78788,51775.58459,892,2538,1014,14305.46784,68,1,1
340,54572.35255,57608.19938,10154.05728,49154.74823,747,2539,881,9999.632046,451,0,0
341,58875.25455,61961.3331,11515.94389,55176.503,847,2540,994,11587.58487,1128,1,1
342,56619.63803,59615.01229,10658.18235,53852.88879,812,2541,1022,10758.02681,710,1,1
343,54898.87491,57344.75515,10273.21891,48226.75796,718,2546,890,10053.11052,345,1,1
344,58823.33807,61511.89366,11544.5464,51730.76843,869,2550,1055,11601.89467,576,1,1
345,57216.9105,59394.0358,10851.1668,52380.67778,788,2551,966,10977.18145,139,0,0
346,69931.49951,73286.91544,15792.87316,56933.09659,1547,2556,1602,16441.07866,42,1,1
347,64602.9455,67642.02624,13313.44086,61040.37384,1359,2557,1396,13848.55349,77,1,1
348,56609.6529,59560.44983,10392.63814,57506.48934,1514,2558,1603,10820.04648,301,1,1
349,58887.44201,61777.78245,11253.12044,58518.18334,1246,2560,1399,11604.86359,1953,1,1
350,54125.61543,56689.46235,9610.743293,54451.28987,994,2564,1108,9935.88921,345,1,1
351,63240.98658,66089.8475,12997.32392,59595.84898,1293,2565,1478,13440.15097,424,1,1
352,57228.736,60057.80729,10662.73833,57458.80067,1385,2566,1470,11025.14388,625,1,1
353,67069.32881,70528.78107,14099.49656,66790.49196,1841,2567,1919,14660.81951,868,1,1
354,67902.11774,71128.26758,14605.98624,64555.98339,1663,2569,1721,15125.79511,29,1,1
355,70555.61308,74152.38463,15569.65538,67035.88734,1635,2570,1833,16140.2948,760,1,1
356,72101.36872,75689.13635,16169.85005,69731.338,1531,2571,1747,16788.25081,247,1,1
357,65087.16676,68526.49916,13429.57047,64503.86127,1402,2572,1593,13911.7187,110,1,1
358,60467.89496,63708.323,11823.24632,59953.17175,1117,2573,1314,12279.0583,136,1,1
359,62327.05882,65614.14152,12473.53069,62384.09384,1271,2574,1476,12900.15516,159,0,0
360,69414.622,72576.24133,15831.9345,61262.732,1109,2575,1343,16315.08283,432,1,1
361,86232.82157,90265.88493,22387.58035,70883.81242,1149,2576,1436,22840.97562,412,1,1
362,68740.72308,72312.42736,15424.64665,60737.75341,1072,2577,1311,15763.60628,428,1,1
363,64719.96452,67677.86667,13759.86559,58551.86584,870,2578,1080,13902.77742,61,1,1
364,65005.64276,68195.09331,13782.49025,59751.95763,1027,2579,1251,14056.37535,103,1,1
365,61214.3879,64042.17556,12204.56757,57990.07278,982,2580,1290,12552.54275,688,1,1
366,72223.2836,75127.62223,16083.39989,68790.28248,1556,2582,1851,16409.37959,326,1,1
367,55783.28445,59244.30973,10404.45891,51563.83217,824,2583,1095,10442.90961,114,1,1
368,59550.07728,63082.78845,11729.24707,53658.05461,769,2590,1030,11955.55933,193,1,1
369,57202.18394,60790.03318,11015.0303,50541.80442,831,2594,1022,11059.95937,354,1,1
370,113200.6066,118145.3176,32376.16217,94607.41411,2581,2600,2973,32610.47184,161,1,1
371,92216.01757,95743.63669,24469.62326,84282.28005,2118,2601,2706,24837.88527,34,1,1
372,82024.79866,84724.12616,19697.63425,78146.51901,1776,2602,2361,20016.2501,463,1,1
373,135922.0293,141020.2701,42405.79678,92952.80944,2507,2603,3035,43188.62462,156,1,1
374,94881.539,98275.21796,24724.94819,91289.69349,2065,2604,2617,25297.039,139,1,1
375,93894.30893,97398.2676,24361.32603,87219.57736,2068,2605,2655,24412.86421,211,1,1
376,81032.10576,83987.81695,19462.39269,75272.4869,1601,2606,2106,19641.06462,137,1,1
377,84588.9844,87655.31782,20803.93257,79833.36096,1827,2607,2352,20758.07393,286,1,1
378,80074.76179,82845.19845,18832.92623,77961.95742,1839,2611,2262,18868.37032,525,1,1
379,83708.72994,86744.38194,20464.56149,77090.33086,1869,2612,2570,20796.07433,171,1,1
380,81028.00207,83823.70471,19419.9025,76273.48551,1734,2614,2175,19406.60576,340,1,1
381,68758.09665,71036.80012,14603.1713,67948.03413,1782,2615,2054,14856.38217,1032,1,1
382,72293.6813,74834.98445,16045.7596,69729.29973,1880,2617,2213,16206.8713,531,1,1
383,95898.87539,99913.37072,26027.93614,74223.60663,2125,2618,2299,26391.92056,27,1,1
384,88216.47777,91223.54065,21818.1698,83906.77312,2691,2619,2802,22404.55547,238,1,1
385,71171.57815,73793.04726,15655.41645,67435.15811,1522,2620,1931,16093.76539,880,1,1
386,78079.95575,81020.23959,18066.54262,75343.55175,2185,2621,2326,18449.65782,139,1,1
387,60168.68402,63375.29308,12122.58303,53930.14665,1315,2627,1570,12315.31754,127,0,0
388,61110.21656,63648.54431,12324.84416,56739.66062,918,2630,1206,12487.95875,235,1,1
389,64875.18863,67937.85353,13730.71264,57709.03201,1131,2640,1484,14074.60553,1561,1,1
390,54285.45526,56670.63656,9745.700235,51448.04611,853,2641,1123,9955.86059,658,0,0
391,55157.21949,58222.51179,9996.984615,52469.08461,880,2643,1042,10032.37436,132,1,1
392,59062.40265,62459.21973,11511.11189,53243.37164,874,2646,1104,11533.08281,370,1,1
393,59027.56538,61998.26282,11471.36795,52922.15848,819,2647,1002,11550.41154,122,0,0
394,63152.71934,66294.67988,13056.43434,56628.11319,1145,2650,1426,13410.44751,1576,1,1
395,55407.3729,58151.32614,10021.6223,54877.38,1202,2651,1326,10222.02518,61,0,0
396,58761.36216,61806.35306,11355.46554,55569.37332,869,2663,1106,11511.00325,123,1,1
397,57127.57136,60881.92055,10898.25123,50306.57662,794,2666,990,10848.09269,137,1,1
398,59287.91971,63289.54015,12156.94891,42537.6701,652,2668,776,11669.63504,10,0,0
399,64496.95686,68432.37974,13530.77059,58391.00706,943,2671,1182,13470.77843,113,1,1
400,57977.07842,60885.62926,11164.18233,52042.34049,1074,2680,1293,11431.32146,623,1,1
401,55317.95422,58985.69682,10151.92741,52540.65481,811,2700,997,10196.78615,151,1,1
402,56246.92637,59378.18533,10429.11901,54099.04458,977,2705,1200,10653.59203,292,1,1
403,57362.0769,60421.25228,10890.03883,51706.69858,840,2710,1111,10943.11751,451,1,1
404,56127.32205,59625.3748,10549.57165,50459.51139,802,2711,978,10621.52441,120,0,0
405,53479.54046,56901.02794,9602.712909,48868.5234,785,2713,983,9482.456647,155,1,1
406,56166.56023,60036.99773,10512.74205,50622.80979,709,2714,896,10628.57841,133,1,1
407,61838.9647,64488.8035,12405.87535,59217.21953,968,2720,1253,12718.39206,229,1,1
408,55914.82773,59615.48655,10427.66555,51168.51787,887,2722,1134,10516.97983,93,1,1
409,59451.12086,62816.13245,11655.85762,56660.78698,913,2729,1204,11789.22351,49,0,0
410,59982.12037,63301.80864,11855.15395,53362.70542,870,2731,1077,12121.40564,430,1,1
411,56508.23077,60373.46154,10748.92,48848.25866,775,2732,974,10656.05692,126,1,1
412,62638.03546,67784.71809,12721.06206,55205.67478,1227,2738,1445,13059.95213,69,0,0
413,54030.94433,58340.17773,9829.284797,51030.13131,1018,2739,1235,10045.66167,105,0,0
414,70017.37032,73377.94636,15270.10678,67225.91072,1856,2745,1960,15869.87489,669,0,0
415,58998.89454,61786.70732,11264.17795,58782.4316,1302,2747,1467,11661.56107,912,1,1
416,64738.63624,67670.10726,13432.47344,62831.93555,1547,2749,1649,13939.93129,418,1,1
417,64145.85105,67043.14045,13177.18558,61695.29647,1256,2750,1555,13601.28914,1069,1,1
418,64975.78295,67851.03824,13673.4886,60978.32793,1264,2753,1495,14117.69536,411,1,1
419,64228.85315,67162.77782,13291.65425,60826.00524,1335,2754,1575,13551.5201,135,0,0
420,63527.84356,66462.34982,13000.67477,60711.00433,1401,2756,1576,13466.42027,901,1,1
421,71159.57457,74463.03665,16003.26928,65498.00059,1705,2758,1842,16516.9133,219,1,1
422,60276.95861,63125.1883,11671.00131,60470.99772,1716,2759,1753,12179.49037,739,0,0
423,55735.23843,58371.04544,10107.09123,55965.57529,1093,2760,1241,10475.31119,701,1,1
424,57557.52981,60180.24925,10713.67642,58811.80665,1562,2761,1572,11195.46521,682,1,1
425,63350.7947,66176.10955,12762.80766,63637.84488,1801,2763,1863,13266.99177,634,1,1
426,65667.81308,68502.81585,13974.81746,58463.89943,1310,2765,1526,14480.04388,299,1,1
427,57403.1337,59987.18474,10719.81983,57686.25789,1403,2766,1470,11110.18979,307,1,1
428,59174.27459,61775.45229,11289.41503,59635.88961,1372,2767,1467,11737.61856,464,1,1
429,70688.47924,73898.53343,15414.52289,71204.56207,2159,2768,2175,16060.19099,433,0,0
430,76120.18133,79562.80456,17263.65381,76815.77792,2468,2769,2450,18116.50376,63,0,0
431,52553.65816,54955.05757,9067.082381,52960.41872,950,2770,1010,9364.831402,1590,0,0
432,81756.89085,85231.26457,19731.01095,75817.48868,1884,2773,2165,20322.45284,155,1,1
433,71740.81082,74939.15656,15948.55174,68631.79063,1620,2774,1882,16405.17193,287,1,1
434,62555.70669,65769.30906,13011.78346,54561.22693,825,2775,1120,12977.35433,40,1,1
435,68959.04922,71986.5725,14930.79722,66120.56941,1578,2776,1820,15228.687,101,1,1
436,68829.14929,71807.61894,14887.33163,66212.09869,1518,2777,1813,15228.60008,470,1,1
437,65960.69945,68866.53188,13787.60838,63783.7666,1493,2778,1745,14299.68944,70,1,1
438,63411.72333,65913.58142,12807.48441,62539.17795,1244,2779,1525,13075.40633,111,1,1
439,66765.26902,69633.39588,14782.51945,57218.50013,877,2780,1212,15054.0884,385,1,1
440,68180.51155,71344.22158,14751.3659,63328.36026,1001,2782,1309,15139.27265,152,1,1
441,60378.62466,62931.97189,11899.35636,57848.47839,1107,2783,1401,12122.91931,99,0,0
